timestamp,module_id,success,duration_ms,faust_len,wasm_len,error_msg
2026-04-01T09:12:04Z,wasm-a3f1c2d4e5b6f7a8,True,312,847,2048,
2026-04-01T09:14:22Z,wasm-b7e2d3a1c4f5e6b9,True,287,623,1792,
2026-04-01T09:17:45Z,wasm-c1d4f2e3a5b6c7d8,False,421,1102,0,syntax error: unexpected token 'letrec' at line 14
2026-04-01T09:18:03Z,wasm-c1d4f2e3a5b6c7d8,True,398,1089,2304,
2026-04-01T09:23:11Z,wasm-d5e6a7b8c9f1d2e3,True,264,512,1536,
2026-04-01T09:31:57Z,wasm-e2f3b4c5d6a7e8f9,True,301,734,1920,
2026-04-01T10:05:33Z,wasm-f8a1b2c3d4e5f6a7,False,5001,2341,0,timed out after 5000 ms
2026-04-01T10:06:12Z,wasm-f8a1b2c3d4e5f6a7,True,489,1876,3072,
2026-04-01T10:22:48Z,wasm-a9b1c2d3e4f5a6b7,True,276,489,1280,
2026-04-01T11:04:19Z,wasm-b3c4d5e6f7a8b9c1,True,334,912,2176,
2026-04-01T11:18:37Z,wasm-c5d6e7f8a9b1c2d3,False,367,1423,0,wrong number of inputs: process expects 1 but received 2
2026-04-01T11:18:54Z,wasm-c5d6e7f8a9b1c2d3,True,341,1398,2560,
2026-04-01T13:45:02Z,wasm-d7e8f9a1b2c3d4e5,True,298,678,1664,
2026-04-01T14:02:16Z,wasm-e1f2a3b4c5d6e7f8,True,323,801,2048,
2026-04-01T15:30:44Z,wasm-f3a4b5c6d7e8f9a1,False,412,1654,0,undefined symbol: ef.reverb_stereo — did you mean ef.reverb_freeverb?
2026-04-01T15:31:01Z,wasm-f3a4b5c6d7e8f9a1,True,389,1631,2816,
2026-04-02T08:11:23Z,wasm-a5b6c7d8e9f1a2b3,True,267,445,1152,
2026-04-02T08:44:09Z,wasm-b7c8d9e1f2a3b4c5,True,310,723,1920,
2026-04-02T09:02:55Z,wasm-c9d1e2f3a4b5c6d7,True,281,567,1408,
2026-04-02T09:28:34Z,wasm-d2e3f4a5b6c7d8e9,False,5001,3012,0,timed out after 5000 ms
2026-04-02T09:29:47Z,wasm-d2e3f4a5b6c7d8e9,False,5001,2876,0,timed out after 5000 ms
2026-04-02T09:31:02Z,wasm-d2e3f4a5b6c7d8e9,True,934,2201,3584,
2026-04-02T10:14:18Z,wasm-e4f5a6b7c8d9e1f2,True,292,634,1664,
2026-04-02T11:05:47Z,wasm-f6a7b8c9d1e2f3a4,True,318,789,2048,
2026-04-02T13:22:09Z,wasm-a8b9c1d2e3f4a5b6,True,274,502,1280,
2026-04-02T14:38:51Z,wasm-b1c2d3e4f5a6b7c8,False,388,1187,0,non-productive recursion detected: feedback path has no delay
2026-04-02T14:39:08Z,wasm-b1c2d3e4f5a6b7c8,True,361,1162,2432,
2026-04-02T15:51:27Z,wasm-c3d4e5f6a7b8c9d1,True,303,698,1792,
2026-04-03T08:07:44Z,wasm-d5e6f7a8b9c1d2e3,True,289,541,1408,
2026-04-03T09:19:33Z,wasm-e7f8a9b1c2d3e4f5,True,327,856,2176,
2026-04-03T10:02:11Z,wasm-f9a1b2c3d4e5f6a7,False,402,1334,0,type error: cannot apply fi.lowpass to non-signal value at line 22
2026-04-03T10:02:29Z,wasm-f9a1b2c3d4e5f6a7,True,378,1311,2560,
2026-04-03T11:34:56Z,wasm-a2b3c4d5e6f7a8b9,True,261,478,1152,
2026-04-03T12:47:18Z,wasm-b4c5d6e7f8a9b1c2,True,295,612,1536,
2026-04-03T14:05:39Z,wasm-c6d7e8f9a1b2c3d4,True,342,934,2304,
2026-04-03T15:22:07Z,wasm-d8e9f1a2b3c4d5e6,True,287,567,1408,
2026-04-04T08:31:14Z,wasm-e1f2a3b4c5d6e7f8,True,271,489,1280,
2026-04-04T09:44:52Z,wasm-f3a4b5c6d7e8f9a2,False,5001,2789,0,timed out after 5000 ms
2026-04-04T09:46:07Z,wasm-f3a4b5c6d7e8f9a2,True,712,2134,3328,
2026-04-04T10:58:23Z,wasm-a5b6c7d8e9f1a2b4,True,308,745,1920,
2026-04-04T12:14:41Z,wasm-b7c8d9e1f2a3b4c6,True,284,601,1536,
2026-04-04T13:27:09Z,wasm-c9d1e2f3a4b5c6d8,True,319,823,2048,
2026-04-04T14:39:55Z,wasm-d2e3f4a5b6c7d8e1,False,445,1567,0,undefined symbol: ba.samplerate — did you mean ma.SR?
2026-04-04T14:40:12Z,wasm-d2e3f4a5b6c7d8e1,True,421,1543,2688,
2026-04-04T15:52:38Z,wasm-e4f5a6b7c8d9e1f3,True,293,556,1408,
2026-04-05T08:18:27Z,wasm-f6a7b8c9d1e2f3a5,True,276,512,1280,
2026-04-05T09:33:14Z,wasm-a8b9c1d2e3f4a5b7,True,331,878,2176,
2026-04-05T10:47:06Z,wasm-b1c2d3e4f5a6b7c9,True,267,467,1152,
2026-04-05T11:58:49Z,wasm-c3d4e5f6a7b8c9d2,False,389,1234,0,wrong number of outputs: stereo output expected but process returns mono
2026-04-05T11:59:07Z,wasm-c3d4e5f6a7b8c9d2,True,364,1209,2432,
