date,hour_utc,generation_type,platform,total_requests,cache_hits,cache_misses,hit_rate_pct,miss_rate_pct,avg_similarity_score_on_hit,avg_similarity_score_on_miss,avg_latency_ms_hit,avg_latency_ms_miss,unique_vibes,evictions,index_size_at_eod
2026-04-01,9,dsp,n/a,12,3,9,25.0,75.0,0.951,0.412,21,2143,9,0,9
2026-04-01,10,dsp,n/a,18,5,13,27.8,72.2,0.963,0.389,13,1987,13,0,13
2026-04-01,11,dsp,n/a,22,7,15,31.8,68.2,0.947,0.401,15,2234,14,0,14
2026-04-01,12,dsp,n/a,8,3,5,37.5,62.5,0.958,0.378,5,2012,5,0,14
2026-04-01,13,dsp,n/a,15,6,9,40.0,60.0,0.954,0.423,9,1876,9,0,14
2026-04-01,14,dsp,n/a,19,8,11,42.1,57.9,0.961,0.398,11,2098,11,0,14
2026-04-01,15,dsp,n/a,24,11,13,45.8,54.2,0.956,0.411,13,2187,13,0,14
2026-04-01,9,shader,webgpu,6,1,5,16.7,83.3,0.943,0.367,5,2312,5,0,5
2026-04-01,10,shader,webgpu,9,2,7,22.2,77.8,0.957,0.391,7,2098,7,0,7
2026-04-01,11,shader,webgpu,14,4,10,28.6,71.4,0.949,0.403,10,2234,10,0,10
2026-04-01,12,shader,webgpu,5,2,3,40.0,60.0,0.961,0.412,3,1987,3,0,10
2026-04-01,13,shader,webgpu,11,4,7,36.4,63.6,0.953,0.389,7,2143,7,0,10
2026-04-01,14,shader,webgpu,16,7,9,43.8,56.3,0.959,0.401,9,2067,9,0,10
2026-04-01,15,shader,webgpu,20,9,11,45.0,55.0,0.955,0.418,11,2198,11,0,10
2026-04-01,9,shader,webgl,4,0,4,0.0,100.0,0.0,0.334,0,2456,4,0,4
2026-04-01,10,shader,webgl,7,1,6,14.3,85.7,0.938,0.367,6,2234,6,0,6
2026-04-01,11,shader,webgl,10,3,7,30.0,70.0,0.946,0.389,7,2187,7,0,7
2026-04-01,13,shader,webgl,8,3,5,37.5,62.5,0.952,0.401,5,2098,5,0,7
2026-04-01,14,shader,webgl,12,5,7,41.7,58.3,0.957,0.412,7,2045,7,0,7
2026-04-01,15,shader,webgl,15,7,8,46.7,53.3,0.953,0.423,8,2167,8,0,7
2026-04-02,9,dsp,n/a,20,9,11,45.0,55.0,0.958,0.407,11,2056,11,0,14
2026-04-02,10,dsp,n/a,26,12,14,46.2,53.8,0.964,0.398,14,1934,13,0,14
2026-04-02,11,dsp,n/a,31,15,16,48.4,51.6,0.961,0.412,16,2123,14,0,14
2026-04-02,12,dsp,n/a,11,5,6,45.5,54.5,0.955,0.389,6,1987,6,0,14
2026-04-02,13,dsp,n/a,23,11,12,47.8,52.2,0.962,0.401,12,2045,12,0,14
